[RUN] passes=5 max_updates=120 delay_ms=1100
[RUN] pass 1/5 started...
Loading provinces/districts...
Loading POIs...
POI loaded: 27008
Mismatch candidates: 989
[1] St. Simon Manastırı | Hatay: - -> Defne
[2] Tcdd Bayındır Tren Garı | İzmir: - -> Bayındır
[3] Sait Halim Paşa Yalısı | İstanbul: - -> Sarıyer
[4] Assos Antik Tiyatro | Çanakkale: - -> Ayvacık
[5] Casa Mila Kazdağları (12+) | Çanakkale: - -> Ayvacık
[6] Gözde Et Lokantası | Kocaeli: - -> Darıca
[7] Gülek Kalesi | Mersin: - -> Tarsus
[8] Bakras Kalesi | Hatay: - -> Belen
[9] Orhan Camii | Sakarya: - -> Adapazarı
[10] Hotel Uğurlu | Gaziantep: - -> Şahinbey
[11] Central Point | İstanbul: - -> Kadıköy
[12] Tavşanlı Belediyesi Göbel Kaplıcaları | Kütahya: - -> Tavşanlı
[13] Tale Cave Inn | Nevşehir: - -> Ürgüp
[14] Ören Halk Plajı | Balıkesir: - -> Burhaniye
[15] Ayancık Sahili | Sinop: - -> Ayancık
[16] Gökçeada | Çanakkale: - -> Gökçeada
[17] Metis Bungalov & Restaurant | Çanakkale: - -> Ayvacık
[18] T.C. Cumhurbaşkanlığı Huber Köşkü - Sarıyer | İstanbul: - -> Sarıyer
[19] Uzun Ali'nin yeri | Antalya: - -> Demre
[20] Kayseri Arkeoloji Müzesi | Kayseri: - -> Melikgazi
[21] Nadas Kazdağları | Çanakkale: - -> Ayvacık
[22] Çiya Sofrası | İstanbul: - -> Kadıköy
[23] Komagene bogazlıyan | Yozgat: - -> Boğazlıyan
[24] 1890 Urla | İzmir: - -> Urla
[25] Metropolis Antik Kenti | İzmir: - -> Torbalı
[26] Mardiva Hotel | Mardin: - -> Artuklu
[27] Şahindere Kanyonu | Balıkesir: - -> Edremit
[28] Kumsal Butik Otel | Adana: - -> Yumurtalık
[29] Cafe Moonlight Konakönü | Trabzon: - -> Araklı
[30] Doğal Park | Adana: - -> Çukurova
[31] Şahinbey Milli Mücadele Müzesi | Gaziantep: - -> Şahinbey
[32] Baruthane Millet Parkı | İstanbul: - -> Bakırköy
[33] Köşek Bükü Astım Mağarası ve Cafe | Mersin: - -> Anamur
[34] Simena Kalesi | Antalya: - -> Demre
[35] Manisa Mevlevihanesi | Manisa: - -> Şehzadeler
[36] Çakır Bungalow Evleri | Çanakkale: - -> Ayvacık
[37] Suuçtu Tabiat Parkı ve Şelalesi | Bursa: - -> Mustafakemalpaşa
[38] Green Canyon | Antalya: - -> Akseki
[39] ÇINAR RESTORAN (Et Kavurma Kahvaltı) | Malatya: - -> Kale
[40] Küff Yeldeğirmeni | İstanbul: - -> Kadıköy
[41] Moda İskelesi | İstanbul: - -> Kadıköy
[42] Koçak Baklava | Gaziantep: - -> Şehitkamil
[43] Hendek Belediyesi Bayraktepe Sosyal Tesisleri | Sakarya: - -> Hendek
[44] Dereağzı Alabalık Tesisleri | Sakarya: - -> Akyazı
[45] İznik Ayasofya Camii | Bursa: - -> İznik
[46] Hacı Aziz İnegöl Köftecisi - 1934 | Bursa: - -> İnegöl
[47] Şah İnegöl Köftecisi | Bursa: - -> Kestel
[48] Çağdaşkent Mesire Alanı | Kocaeli: - -> Çayırova
[49] Ethem Efendi Kahvaltı Erenköy | İstanbul: - -> Kadıköy
[50] Hasan Boğuldu Göleti | Balıkesir: - -> Edremit
[51] SEKA Kağıt Müzesi | Kocaeli: - -> İzmit
[52] Cumayanı Mesire Alanı | Düzce: - -> Akçakoca
[53] Köprülü Kanyon Milli Parkı | Antalya: - -> Manavgat
[54] Bay Ali Baba | İstanbul: - -> Ataşehir
[55] Pointbreak Otel | Trabzon: - -> Ortahisar
[56] ÜLFER ET | Balıkesir: - -> İvrindi
[57] Dedem Hotel Premium | Tekirdağ: - -> Çorlu
[58] Bardak Coffee | Şırnak: - -> İdil
[59] Murat Hüdavendigar Köprüsü | Çanakkale: - -> Ayvacık
[60] Çekerek Rafting Parkuru | Yozgat: - -> Çekerek
[61] Üçağız Kekova Kalesi | Antalya: - -> Demre
[62] Safir Beach & Garden | Çanakkale: - -> Ayvacık
[63] Kapıçam Tabiat Parkı | Kahramanmaraş: - -> Dulkadiroğlu
[64] Uçarlar Et | Balıkesir: - -> İvrindi
[65] Van Kedisi Evi | Van: - -> Tuşba
[66] Hattuşa Vacation Thermal Club Saray | Tekirdağ: - -> Saray
[67] Patara Antik Kenti | Antalya: - -> Kaş
[68] Noyan Pansiyon | Çanakkale: - -> Ayvacık
[69] Park | Niğde: - -> Ulukışla
[70] Radisson Blu Hotel, Kayseri | Kayseri: - -> Melikgazi
[71] Koza Kafe&Restoran | Yalova: - -> Çınarcık
[72] Belgrad ormanı | İstanbul: - -> Sarıyer
[73] Snowflake Dağ Oteli & SPA | Kars: - -> Sarıkamış
[74] Kanyon Cafe | Konya: - -> Selçuklu
[75] Sultansazlığı Milli Parkı | Kayseri: - -> Yeşilhisar
[76] Köfteci Yusuf | Bursa: - -> İznik
[77] Crowne Plaza Istanbul Florya, an IHG Hotel | İstanbul: - -> Bakırköy
[78] Modatepe Restoran & Bungalov | Trabzon: - -> Ortahisar
[79] Zeus Altarı Girişi | Çanakkale: - -> Ayvacık
[80] Sade Kahve | İstanbul: - -> Sarıyer
[81] Hatay Ferah Künefe ve Baklava Salonu | Hatay: - -> Reyhanlı
[82] Alan Yaylası | Hatay: - -> Kırıkhan
[83] Mersin Arkeoloji Müzesi | Mersin: - -> Yenişehir
[84] Tokaçlı Zeytin Müzesi | Hatay: - -> Altınözü
[85] Namrun Kalesi | Mersin: - -> Çamlıyayla
[86] ASSOS AT ÇİFTLİĞİ | Çanakkale: - -> Ayvacık
[87] Kimyon Kadıköy | İstanbul: - -> Kadıköy
[88] Uzuncaburç (Diocaesarea) Antik Kenti | Mersin: - -> Silifke
[89] Şelale Kafe Restaurant Ve Nargile Salonu | Karaman: - -> Ermenek
[90] Manici Kasrı Plaj | Çanakkale: - -> Ayvacık
[91] Şelale Park Sosyal Tesisleri | Kocaeli: - -> Çayırova
[92] Sacred House | Nevşehir: - -> Ürgüp
[93] Cizre Belediye Parkı | Şırnak: - -> Cizre
[94] Atatürk Arboretumu | İstanbul: - -> Sarıyer
[95] Küreklidere Şelalesi | Bursa: - -> Kestel
[96] Şaşkınbakkal Sahili | İstanbul: - -> Kadıköy
[97] Bağdat Resort | Yalova: - -> Altınova
[98] DUHA ASSOS | Çanakkale: - -> Ayvacık
[99] CEREN TUR Turizm Tic.Ltd.Şti. | Manisa: - -> Kırkağaç
[100] Hilton Istanbul Maslak | İstanbul: - -> Sarıyer
[101] Emirgan Sahil | İstanbul: - -> Sarıyer
[102] Kağıthane Belediyesi Hasbahçe Mesire Alanı | İstanbul: - -> Kağıthane
[103] Beltur | İstanbul: - -> Kadıköy
[104] Swissôtel Büyük Efes İzmir | İzmir: - -> Konak
[105] Hotel Kaleli | Gaziantep: - -> Şahinbey
[106] Arsuz Hatay Plajı | Hatay: - -> Arsuz
[107] Smyrna Agorası | İzmir: - -> Konak
[108] Tepe Prime Alışveriş Merkezi | Ankara: - -> Çankaya
[109] Pendirhan Atmali Kebap ve Kahvaltı Sarayı | Gaziantep: - -> Şahinbey
[110] Şehit Cevher Dudayev Parkı | Kocaeli: - -> Darıca
[111] CEVAHER HOTEL & SUITES | Trabzon: - -> Yomra
[112] Güneşin Doğuşu Dinlenme Tesisleri | Bingöl: - -> Karlıova
[113] Nihat'ın Yeri Balık Restaurantı / İZNİK / Liman | Bursa: - -> İznik
[114] Kırkgöz Sahil Park | Malatya: - -> Battalgazi
[115] Yağ Camii | Adana: - -> Seyhan
[116] Hisar Aile Çay Bahçesi | Ankara: - -> Gölbaşı
[117] Efes Arkeolojik Alanı | İzmir: - -> Selçuk
[118] Hayme Ana Türbesi | Kütahya: - -> Domaniç
[119] Assos Bohemian Cafe Restaurant | Çanakkale: - -> Ayvacık
[120] Cuma'nın Yeri | Niğde: - -> Ulukışla
Done. checked=190, updated=120, dry_run=false, max_updates=120
[RUN] pass 1/5 finished
[RUN] pass 2/5 started...
Loading provinces/districts...
Loading POIs...
POI loaded: 27008
Mismatch candidates: 869
[1] Sarıkamış Iceberg Hotel | Kars: - -> Sarıkamış
[2] ertu balıkçılık | Zonguldak: - -> Alaplı
[3] İBB 15 Temmuz Şehitler Ormanı ve Anıtı | İstanbul: - -> Sarıyer
[4] VE HOTELS GÖLBAŞI | Ankara: - -> Gölbaşı
[5] Vakif Tenis Cafe | İstanbul: - -> Kadıköy
[6] Gölbaşı Restaurant | Burdur: - -> Bucak
[7] Kekova Tekne Turu | Antalya: - -> Demre
[8] Altınkum Plajı | Balıkesir: - -> Edremit
[9] Adra Coffeeshop | İzmir: - -> Urla
[10] Darıca Hobbit Köyü | Kocaeli: - -> Darıca
[11] Bayramoğlu Resort Hotel | Kocaeli: - -> Darıca
[12] Fatma Teyzenin Yeri Gözleme | Ankara: - -> Beypazarı
[13] Beydağı Tabiat Parkı | Malatya: - -> Battalgazi
[14] Novotel Kayseri | Kayseri: - -> Kocasinan
[15] Çıldır Gölü Konağı - Lake Cildir Lodge | Ardahan: - -> Çıldır
[16] Gümüşhacıköy Dede Korkut Parkı | Amasya: - -> Gümüşhacıköy
[17] İskenderun Millet Parkı | Hatay: - -> İskenderun
[18] Üsküdar Sahili Yürüme Yolu | İstanbul: - -> Üsküdar
[19] VE HOTELS KIZILCAHAMAM | Ankara: - -> Kızılcahamam
